Ceist_ID	Bliain_tugtha	Abhar	Aonad	ceist	focheist	cineal_ceist	cineal_freagra	rogha_freagrai	snip_Gaeilge	snip_Bearla	ocr_Gaeilge	ocr_Bearla	freagra_ceart	marc_ar_fail	Faoi	snip_freagra	ocr_freagra	ccea_url_Bearla	ccea_url_Gaeilge	ccea_url_freag
1	2024	Teicneolaíocht Dhigiteach	1	1	b	ilroghnach	ilroghnach	A,B,C,D	2024_DT_Unit1_Q01_b_Gaeilge.png	2024_DT_Unit1_Q01_b_Bearla.png	Is ionann WAN agus: A Líonra Achair Fhóirsteanaigh B Líonra Achair Feidhmeanna C Líonra Achair Fhairsing D Líonra Achair Feidhmchlár Freagra _______ [1]	A WAN is: A A World Area Network B A Wired Application Network C A Wide Area Network D A World Applications Network Answer _______ [1]	C	1	Lionra			https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Digital%20Technology%20%282017%29/2024-Summer/Irish%20Medium/0/GCSE-Digital%20Technology-478-Summer2024-Unit%201%2C%20%28Compulsory%20Core%29%20Digital%20Technology%29-Paper.pdf	https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Digital%20Technology%20%282017%29/2024-Summer/Irish%20Medium/0/GCSE-Digital%20Technology-478-Summer2024-Unit%201%2C%20%28Compulsory%20Core%29%20Digital%20Technology%29-Paper.pdf	https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Digital%20Technology%20%282017%29/2024-Summer/Standard/0/GCSE-Digital%20Technology-478-Summer2024-Unit%201%2C%20%28Compulsory%20Core%29%20Digital%20Technology-MS.pdf
2	2024	Teicneolaíocht Dhigiteach	1	1	a	ilroghnach	ilroghnach	A,B,C,D	2024_DT_Unit1_Q01_a_Gaeilge.png	2024_DT_Unit1_Q01_a_Bearla.png	Is é atá in aon chilibheart amháin (KB) ná: A 100 beart B 256 beart C 10000 beart D 1024 beart Freagra_____[1]	One kilobyte (KB) contains:  A 100 bytes  B 256 bytes  C 10000 bytes  D 1024 bytes  Answer __________ [1]	D	1	Sonrai					
3	2024	Teicneolaíocht Dhigiteach	1	1	c	ilroghnach	ilroghnach	A,B,C,D	2024_DT_Unit1_Q01_c_Gaeilge_Dli.png	2024_DT_Unit1_Q01_c_Bearla_Dli.png	Is é an dlí a thugann cosaint in aghaidh cóipeáil bogearraí ná: A An tAcht um Ríomhairí, Sonraí agus Bogearraí B An tAcht um Chóipcheart, Sonraí agus Paitinní C An tAcht um Chóipcheart, Dearaí agus Paitinní D An tAcht um Chóipcheart, Dearaí agus Bogearraí Freagra _____[1]	The law designed to protect against software copying is: A The Computer, Data and Software Act B The Copyright, Data and Patents Act C The Copyright, Designs and Patents Act D The Copyright, Designs and Software Act Answer [1]	C	1	Dli					
4	2024	Teicneolaíocht Dhigiteach	1	1	d	ilroghnach	ilroghnach	A,B,C,D	2024_DT_Unit1_Q01_d_Gaeilge_CruaEarrai.png	2024_DT_Unit1_Q01_d_Bearla_CruaEarrai.png	Cad é dó a seasann na litreacha SSD? A Solid State Drive (Tiomántán Soladstaide) B Solid Storage Drive (Tiomántán Soladstórais) C Solid State Device (Gaireas Soladstaide) D Solid Storage Device (Gaireas Soladstórais) Freagra [1]	What do the letters SSD stand for? A Solid State Drive B Solid Storage Drive C Solid State Device D Solid Storage Device Answer [1]	A	1	CruaEarrai					
5	2024	Teicneolaíocht Dhigiteach	1	1	e	ilroghnach	ilroghnach	A,B,C,D	2024_DT_Unit1_Q01_e_Gaeilge_Slainte.png	2024_DT_Unit1_Q01_e_Bearla_Slainte.png	Cad é dó a seasann na litreacha RSI? A Rest and Support Injury (Gortú Scíthe agus Tacaíochta) B Restrictive Support Injury (Gortú Sriantach Tacaíochta) C Repetitive Strain Injury (Gortú Athstraidhneála) D Restrictive Straining Injury (Gortú Athstangtha) Freagra [1]	What do the letters RSI stand for? A Rest and Support Injury B Restrictive Support Injury C Repetitive Strain Injury D Repetitive Straining Injury Answer [1]	C	1	Slainte					
6	2024	Teicneolaíocht Dhigiteach	1	1	f	ilroghnach	ilroghnach	A,B,C,D	2024_DT_Unit1_Q01_f_Gaeilge_CruaEarrai.png	2024_DT_Unit1_Q01_f_Bearla_CruaEarrai.png	Cad chuige a bhfuil tiomántán diosca chrua de dhíth ar ríomhaire? A Leis an ríomhaire a bhútáil B Le ríomhchláir atá á rith i láthair na huaire a rochtain C Le sonraí, comhaid agus bogearraí nach bhfuil in úsáid i láthair na huaire a stóráil D Le sonraí atá stóráilte sa CPU (aonad lárnach próiseála) a rochtain Freagra [1]	Why does a computer need a hard disk drive? A To boot up the computer B To access programs that are currently running C To store data, files, and software currently not in use D To access the data stored in the CPU Answer [1]	C	1	CruaEarrai					
7	2024	Teicneolaíocht Dhigiteach	1	1	g	ilroghnach	ilroghnach	A,B,C,D	2024_DT_Unit1_Q01_g_Gaeilge_Lionrai.png	2024_DT_Unit1_Q01_g_Bearla_Lionrai.png	Cad é an cineál comhartha a théann trí chábla snáthoptaice? A Comharthaí raidió B Wi-Fi C Comharthaí solais D Comharthaí leictreacha Freagra [1]	What type of signal is passed through a fibre-optic cable? A Radio signals B Wi-Fi C Light signals D Electrical signals Answer [1]	C	1	Lionra					
8	2024	Teicneolaíocht Dhigiteach	1	1	h	ilroghnach	ilroghnach	A,B,C,D	2024_DT_Unit1_Q01_h_Gaeilge_CruaEarrai.png	2024_DT_Unit1_Q01_h_Bearla_CruaEarrai.png	Cé acu de na rudaí seo a leanas nach gléas aschuir é? A Monatóir B Micreafón C Callaire D Printéir Freagra [1]	Which of the following is not an output device? A Monitor B Microphone C Speaker D Printer Answer [1]	B	1	CruaEarrai					
9	2024	Teicneolaíocht Dhigiteach	1	1	i	ilroghnach	ilroghnach	A,B,C,D	2024_DT_Unit1_Q01_i_Gaeilge_Lionra.png	2024_DT_Unit1_Q01_i_Bearla_Lionra.png	Cad é an t-ainm a thugtar ar theicneolaíocht chumarsáide gan sreang gearr-raoin? A Inlíon B Idirlíon C Bluetooth D Ródaire Freagra [1]	What is the name given to a short-range wireless communication technology? A Intranet B Internet C Bluetooth D Router Answer [1]	C	1	Lionra					
10	2024	Teicneolaíocht Dhigiteach	1	1	j	ilroghnach	ilroghnach	A,B,C,D	2024_DT_Unit1_Q01_j_Gaeilge_Slandail.png	2024_DT_Unit1_Q01_j_Bearla_Slandail.png	Cad é ba chóir a bheith i bpasfhocal láidir? A Litreacha amháin B Uimhreacha agus saincharachtair C Ainm duine D Litreacha, uimhreacha agus saincharachtair Freagra [1]	What should a strong password consist of? A Only letters B Numbers and special characters C Name of a person D Letters, numbers, and special characters Answer [1]	D	1	Slandail					
